Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,02/02/2022,5460078303,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,53.39,,,7,,,20032,,,373.76
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,02/02/2022,5460078304,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,93.10,,,2,,,9980,,,186.21
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/02/2022,2489547,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,63.47,0.00,,154,,,523844.42,,,9774.01,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/02/2022,2489547,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,52.30,0.00,,283,,,793265.74,,,14800.94,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/02/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,39.92,0.00,,20,,,42791.8,,,798.42,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/02/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,34.96,0.00,,124,,,232318.91,,,4334.66,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/01/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,79.74,0.00,,70,,,299175.75,,,5582.09,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,22/01/2022,2483884,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,12.46,0.00,,364,,,810892.93,,,4533.69,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,21/01/2022,2483884,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,10.46,0.00,,831,,,1555204.69,,,8695.13,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,09/02/2022,2489194,LG,SB,TERCERAS,CD Villa El Salvador,SB,0.00,8.53,0.00,,142,,,216761.74,,,1211.91,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,09/02/2022,2489196,LG,SB,TERCERAS,CD Villa El Salvador,SB,9.17,0.00,0.00,132,,,216470.76,,,1210.29,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,19/02/2022,2489195,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,16.91,0.00,,18,,,54429.66,,,304.32,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,19/02/2022,2489197,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,18.71,0.00,0.00,23,,,76948.17,,,430.22,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,19/02/2022,2491309,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,12.30,0.00,,300,,,660111.4,,,3690.68,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,19/02/2022,2491310,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,135.98,0.00,0.00,2,,,48642.68,,,271.96,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,18/02/2022,5460078874,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,0.00,0.00,7.40,,,1,,,1324,,,7.40
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,02/02/2022,5460078304,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,10.49,,,4,,,7502,,,41.94
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,11/02/2022,2489194,LG,SB,TERCERAS,CD Villa El Salvador,SB,0.00,7.29,0.00,,100,,,130434,,,729.26,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,11/02/2022,2489196,LG,SB,TERCERAS,CD Villa El Salvador,SB,5.42,0.00,0.00,135,,,130781.25,,,731.20,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,12/02/2022,2489195,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,12.16,0.00,,1193,,,2595385.71,,,14510.78,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,12/02/2022,2489197,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,15.98,0.00,0.00,58,,,165729.64,,,926.59,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,10/02/2022,2489197,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,13.23,0.00,0.00,492,,,1164488.35,,,6510.64,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,29/01/2022,2483884,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,15.73,0.00,,8,,,22502.88,,,125.81,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,29/01/2022,2483886,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,11.02,0.00,0.00,418,,,823733.3,,,4605.48,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,09/02/2022,2489189,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,5.67,0.00,0.00,108,,,109478.86,,,612.10,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,09/02/2022,2489188,LG,SB,TERCERAS,CD Villa El Salvador,SB,0.00,5.00,0.00,,48,,,42897.67,,,239.84,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,09/02/2022,2489188,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,0.00,7.25,0.00,,40,,,51835.6,,,289.81,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,10/02/2022,2489189,LG,SB,TERCERAS,CD Villa El Salvador,SB,9.38,0.00,0.00,39,,,65450.61,,,365.93,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,10/02/2022,2489189,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,6.95,0.00,0.00,90,,,111867.1,,,625.45,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,10/02/2022,2489188,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,5.24,0.00,,87,,,81499.09,,,455.66,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,10/02/2022,2489188,LG,SB,TERCERAS,CD Villa El Salvador,SB,0.00,6.04,0.00,,3,,,3239.37,,,18.11,
MAPED PERU S.A.C.,2054456344,INFANTIL,ESCOLAR,27/01/2022,2483794,MAPED,PQ,TERCERAS,CD Villa El Salvador,SB,0.00,0.17,0.00,,158,,,3333.64,,,27.40,
MAPED PERU S.A.C.,2054456344,INFANTIL,ESCOLAR,27/01/2022,2483795,MAPED,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,0.00,3742,,,80022.86,,,648.86,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,27/01/2022,2485599,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,35,,,1835.66,,,6.26,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,27/01/2022,2485599,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,305,,,8207.27,,,54.57,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,08/02/2022,2489339,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,456,,,12959.52,,,81.58,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,19/02/2022,2492138,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,741,,,31531.06,,,132.57,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,19/02/2022,2492138,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,1571,,,45023.85,,,281.07,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,19/02/2022,2492278,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,100,,,647,,,17.89,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,19/02/2022,2492278,GARNIER,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,291,,,4239.58,,,52.06,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,05/02/2022,2488963,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,1232,,,48404.52,,,220.42,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,05/02/2022,2488963,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,3464,,,99149.4,,,619.75,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,05/02/2022,2488963,GARNIER,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,7,,,56.07,,,1.25,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,05/02/2022,2488857,L`OREAL,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,898,,,35664.34,,,160.66,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,05/02/2022,2488857,MAYBELLINE,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,3247,,,95611,,,580.93,,
LOREAL PERU S.A.,2041641401,BELLEZA,PERF. SEMI-SELECTIVA,05/02/2022,2488857,GARNIER,J&C,TERCERAS,CD Villa El Salvador,J&C,0.18,0.00,0.00,17,,,335.4,,,3.04,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484664,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,0.00,4095,,,87696,,,710.07,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484664,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,0.00,1670,,,32600.2,,,289.58,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2485440,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,422,,,38674.88,,,94.38,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484673,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,235,,,14051.62,,,218.10,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484674,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,1917,,,85501.08,,,428.72,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484682,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,63,,,2872.66,,,58.47,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484663,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.00,0.17,0.00,,80,,,2828,,,13.87,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484683,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,109,,,4499.04,,,24.38,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484681,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,188,,,29130.32,,,42.04,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2485439,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,106,,,9614.59,,,98.38,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,25/01/2022,2484680,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,60,,,10114.5,,,55.69,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,28/01/2022,2486069,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,426,,,34500.87,,,395.37,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,07/02/2022,2486058,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,0.00,1375,,,39309.95,,,238.43,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,07/02/2022,2486058,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,0.00,320,,,16233.6,,,55.49,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,07/02/2022,2487077,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,1422,,,50267.7,,,318.02,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,15/02/2022,2489478,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,3686,,,152643.81,,,824.34,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,19/02/2022,2492140,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,2899,,,148597.47,,,648.33,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,19/02/2022,2492139,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,378,,,27141.34,,,350.82,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,19/02/2022,2492131,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,68,,,2716.39,,,63.11,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,19/02/2022,2492132,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,1243,,,38973.98,,,277.98,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,19/02/2022,2492135,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.00,0.17,0.00,,20,,,963.2,,,3.47,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,19/02/2022,2492136,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,0.00,50,,,1767.5,,,8.67,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,12/02/2022,2489665,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,290,,,20341.76,,,269.15,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,12/02/2022,2489666,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,3913,,,154974.45,,,875.10,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,12/02/2022,2489477,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,167,,,7040.63,,,154.99,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,12/02/2022,2489644,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,38,,,3516.04,,,35.27,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,12/02/2022,2489645,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,288,,,29367.36,,,64.41,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486117,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,80,,,4887.8,,,74.25,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486070,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,1264,,,86933.35,,,282.68,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486118,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,428,,,23206.44,,,95.72,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486058,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,0.00,1810,,,53730.3,,,313.85,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486058,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,0.00,450,,,22521.1,,,78.03,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486057,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SB,0.00,0.17,0.00,,500,,,11117.1,,,86.70,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486057,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,FLT,0.00,0.17,0.00,,49,,,1696.71,,,8.50,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2487077,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,1422,,,50267.7,,,318.02,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486131,REEBOK,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,0.00,490,,,10525.2,,,84.97,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486131,REEBOK,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,0.00,30,,,445.5,,,5.20,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486400,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,0.00,,84,,,2538.48,,,77.96,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,29/01/2022,2486401,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,0.00,462,,,13961.64,,,103.32,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,26/01/2022,2485824,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,2052,,,228912.6,,,688.36,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,26/01/2022,2485820,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,192,,,22713.6,,,283.40,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,07/02/2022,2487098,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,662,,,80455.38,,,222.07,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,09/02/2022,2488978,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,4071,,,430097.31,,,1365.65,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,08/02/2022,2488978,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SHO,0.17,0.00,0.00,72,,,9186.48,,,12.48,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,08/02/2022,2488978,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,4230,,,477040.98,,,1418.99,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,08/02/2022,2488990,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,444,,,42260.28,,,655.35,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,19/02/2022,2491955,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,1404,,,127297.32,,,470.98,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,19/02/2022,2491954,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,252,,,22805.64,,,371.96,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,17/02/2022,2491400,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,1476,,,174482.16,,,2178.61,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,17/02/2022,2491401,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,6776,,,729555.56,,,2273.07,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,16/02/2022,2491059,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,24,,,2385.72,,,35.42,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,16/02/2022,2491060,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,24,,,2385.72,,,8.05,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,12/02/2022,2488997,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,2652,,,253137.36,,,889.64,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,12/02/2022,2488981,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,SHO,0.00,0.17,0.00,,24,,,3062.16,,,4.16,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,12/02/2022,2488981,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,874,,,118478.24,,,1290.04,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,29/01/2022,2487098,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,686,,,82779.54,,,230.13,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,22/01/2022,2484358,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,120,,,8792.4,,,177.12,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,22/01/2022,2484345,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,216,,,16367.4,,,72.46,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,22/01/2022,2484357,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,816,,,56271.84,,,273.73,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,22/01/2022,2484346,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,0.00,324,,,30455.16,,,108.69,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,22/01/2022,2484344,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,0.00,,48,,,3664.56,,,70.85,
